height_cm,media,price_gbp,title,url,width_cm
40,Watercolour and hand coloured copper plate etching on Velin Arches,940,Chiral IV by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-iv-by-bella-easton,18
40,Watercolour and hand coloured copper plate etching on Velin Arches,940,Chiral III by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-iii-by-bella-easton,18
40,Watercolour and hand coloured copper plate etching on Velin Arches,940,Chiral V by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-v-by-bella-easton,18
127,Sprayed board,3400,Candy Flop by Olly Fathers,https://www.bearspace.co.uk/product-page/candy-flop-by-olly-fathers,53
40,Watercolour and hand coloured copper plate etching on Velin Arches,940,Chiral II by Bella Easton,https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,18
45,Digital print on Aluminium,640,Castle 2 by Jane Ward,https://www.bearspace.co.uk/product-page/castle-2-by-jane-ward,60
70,Digital print on Canvas with hand dissolved ink,840,Broad Vales Between by Jane Ward,https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,90
30,Acrylic paint on sprayed board,240,C13 by Olly Fathers,https://www.bearspace.co.uk/product-page/c13-by-olly-fathers,30
30,Acrylic paint on sprayed board,240,C6 by Olly Fathers,https://www.bearspace.co.uk/product-page/c6-by-olly-fathers,30
22,Mixed media,640,Capital Drone by Chris Hawtin,https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,1413.5
90,Digital print on Canvas with dissolved ink,940,Castle by Jane Ward,https://www.bearspace.co.uk/product-page/castle-by-jane-ward,70
92,Archival Digital Print ,690,Boondocks by Suzanne Moxhay,https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,45
100,Archival digital print,690,Bayou,https://www.bearspace.co.uk/product-page/bayou,44
90,Archival digital print on canvas,1800,Bridge Over Garden City State by Jane Ward,https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,120
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),340,Balancing Acts IV by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-iv-by-elise-wootten,50.8
40.7,Inkjet Print (Hahnemuhle Ultra-Smooth),340,Balancing Acts V by Elise Wootten,https://www.bearspace.co.uk/product-page/balancing-acts-v-by-elise-wootten,50.8
40,"oil on canvas with charcoal, watercolour and pencil",640,You Took My Breath Away by Dominic Bradnum,https://www.bearspace.co.uk/product-page/you-took-my-breath-away-by-dominic-bradnum,50
59.4,screenprint on paper,150,YETI OVER MOUNT FUJI (PANTONE YELLOW) by Phil Ashcroft,https://www.bearspace.co.uk/product-page/yeti-over-mount-fuji-pantone-yellow-by-phil-ashcroft,42
60,Oil Paint and acrylic on board,1200,Yellow Wall by Lucinda Metcalfe,https://www.bearspace.co.uk/product-page/yellow-wall-by-lucinda-metcalfe-1,80
50,Oil on canvas,940,With Tomorrow by Chris Hawtin,https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,60
